상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
수라간이야기,한식,백반/한정식,한식 일반 음식점업,동선동,37.5915443109008,127.017020998736
홍익짬뽕,중식,중국집,중식 음식점업,용신동,37.5765481179975,127.025369388608
슬로미,비알코올 ,카페,커피 전문점,동선동,37.5967297027371,127.021890136708
후와리,기타 간이,빵/도넛,제과점업,동선동,37.5958747682858,127.015514554635
빈이네등갈비,한식,돼지고기 구이/찜,한식 육류 요리 전문점,종암동,37.5914398174109,127.038242427034
신미정,한식,백반/한정식,한식 일반 음식점업,용신동,37.5744749653642,127.029653041282
백남옥손만두,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,종암동,37.5988901281181,127.034771820447
카페뜨랑,비알코올 ,카페,커피 전문점,청량리동,37.586414720345,127.04746711209
뜨락,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5884261917922,127.04105532981
메모리즈,주점,요리 주점,기타 주점업,종암동,37.601395054682,127.033674915874
카페뷔뷔에스,비알코올 ,카페,커피 전문점,동선동,37.5941240815518,127.019523596415
커피몽땅,비알코올 ,카페,커피 전문점,삼선동,37.5910361093873,127.013347600956
마틸다코티지베이커리,기타 간이,빵/도넛,제과점업,동선동,37.5918134551793,127.020131407446
만득이곱창,한식,곱창 전골/구이,한식 일반 음식점업,용신동,37.5751654526008,127.030345979675
한사우순두부,한식,백반/한정식,한식 일반 음식점업,안암동,37.5860285890829,127.027736758393
피자스쿨고대,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",종암동,37.5955245718563,127.035302228661
또래오래,기타 간이,치킨,치킨 전문점,용신동,37.5760341688768,127.039617995387
아시안콘티낸탈쿠진,동남아시아,베트남식 전문,기타 외국식 음식점업,안암동,37.5867212529395,127.029788477941
바라라라디오,주점,일반 유흥 주점,일반 유흥 주점업,안암동,37.5853873997359,127.030847459151
커피니,비알코올 ,카페,커피 전문점,용신동,37.578803037751,127.042163733349
뉴뉴나나,비알코올 ,카페,커피 전문점,삼선동,37.5888626645139,127.013115863766
홍빠오,한식,국수/칼국수,한식 면 요리 전문점,종암동,37.5963326462381,127.034952071692
햇살김밥,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,용신동,37.574776757268,127.026909472914
골목포차,기타 간이,치킨,치킨 전문점,종암동,37.5998546952756,127.034827307271
카페유어스,비알코올 ,카페,커피 전문점,용신동,37.5750089499474,127.032136713617
슈퍼스타,주점,요리 주점,기타 주점업,동선동,37.5914736498402,127.017191779087
이디야커피,비알코올 ,카페,커피 전문점,용신동,37.5750577237004,127.024924656134
